Time,Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:29,0.0312769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:30,0.50043,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00501551,8.35918e-05,0.641123,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:30,0.625538,0,0,0,0,0,0,0,0,0.850889,0,0,0,0,0,0.00501551,8.35918e-05,0.641123,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:30,0.750645,0,0,0,0,0,0,0,0,0.665793,0,0,0,0,0,0.00501551,8.35918e-05,0.641123,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:30,0.875753,0,0,0,0,0,0,0,0,0.352615,0,0,0,0,0,0.00501551,8.35918e-05,0.641123,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:30,1.00086,0,0,0,0,0,0,0,0,0.200436,0,0,0,0,0,0.0218732,0.000447448,0.720896,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:30,1.00086,0,2,0,0,0,0,0,0,0.200436,0,0,0,0,0,0.0218732,0.000447448,0.720896,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:30,1.12597,0,2,0,0,0,0,0,0,0.176431,0,0,0,0,0,0.0218732,0.000447448,0.720896,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:30,1.25108,0,2,0,0,0,0,0,0,0.258225,0,0,0,0,0,0.0218732,0.000447448,0.720896,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:31,1.37618,0,2,0,0,0,0,0,0,0.196776,0,0,0,0,0,0.0218732,0.000447448,0.720896,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:31,1.50129,0,2,0,0,0,0,0,0,0.0792988,0,0,0,0,0,0.0447605,0.00118972,0.747991,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:31,1.6264,0,2,0,0,0,0,0,0,0.0984851,0,0,0,0,0,0.0447605,0.00118972,0.747991,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:31,1.75151,0,2,0,0,0,0,0,0,0.0578736,0,0,0,0,0,0.0447605,0.00118972,0.747991,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:31,1.84534,0,2,1,0,0,0,0,0,0.0578736,0,0,0,0,0,0.0447605,0.00118972,0.747991,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
12-01-2017 01:13:31,1.87661,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0447605,0.00118972,0.747991,1,0
