time,fileName,arousal,valence
2017/1/17 15:35:52:980,fear_0913.jpg,0.47644505,0.48256487
2017/1/17 15:36:3:808,contentment_0118.jpg,0.4507537,0.4770509
2017/1/17 15:36:12:799,awe_0856.jpg,0.4629707,0.47445363
2017/1/17 15:36:19:559,fear_0968.jpg,0.423506,0.39804646
2017/1/17 15:36:25:775,awe_0833.jpg,0.5572527,0.5545913
2017/1/17 15:36:29:133,awe_0585.jpg,0.48675248,0.50087875
2017/1/17 15:36:37:413,excitement_0260.jpg,0.4903291,0.5177306
2017/1/17 15:36:45:424,disgust_0768.jpg,0.47967464,0.50087875
2017/1/17 15:36:52:566,sad_0363.jpg,0.50087875,0.50087875
2017/1/17 15:37:0:127,excitement_0256.jpg,0.50087875,0.53617823
2017/1/17 15:37:8:563,contentment_0065.jpg,0.52463984,0.52729404
2017/1/17 15:37:17:453,excitement_0226.jpg,0.52636534,0.5318096
2017/1/17 15:37:23:106,fear_0951.jpg,0.46395037,0.44184965
2017/1/17 15:37:28:477,amusement_0732.jpg,0.5484078,0.52559555
2017/1/17 15:37:32:814,contentment_0122.jpg,0.50087875,0.50087875
2017/1/17 15:37:39:28,amusement_0726.jpg,0.50087875,0.48142567
2017/1/17 15:37:44:794,excitement_0249.jpg,0.50087875,0.50087875
2017/1/17 15:37:46:441,excitement_0230.jpg,0.50087875,0.50087875
2017/1/17 15:37:51:420,sad_0373.jpg,0.52472883,0.53791076
2017/1/17 15:37:54:335,amusement_0496.jpg,0.50087875,0.50087875
2017/1/17 15:37:58:709,excitement_0261.jpg,0.50087875,0.50087875
2017/1/17 15:38:4:551,sad_0451.jpg,0.50087875,0.50087875
2017/1/17 15:38:11:861,amusement_0533.jpg,0.50087875,0.50087875
2017/1/17 15:38:23:804,disgust_0771.jpg,0.5668689,0.42169276
2017/1/17 15:38:28:950,excitement_0213.jpg,0.50087875,0.50087875
2017/1/17 15:38:31:225,anger_0269.jpg,0.50087875,0.50087875
2017/1/17 15:38:41:776,fear_0947.jpg,0.53968143,0.45776346
2017/1/17 15:38:48:936,sad_0635.jpg,0.50087875,0.46920872
2017/1/17 15:38:54:810,sad_0355.jpg,0.55189264,0.45242083
2017/1/17 15:38:56:580,excitement_0222.jpg,0.50087875,0.50087875
2017/1/17 15:39:3:882,fear_0688.jpg,0.5483481,0.47448623
2017/1/17 15:39:5:460,sad_0299.jpg,0.50087875,0.50087875
2017/1/17 15:39:11:857,disgust_0804.jpg,0.6248214,0.45413086
2017/1/17 15:39:14:867,sad_0316.jpg,0.50087875,0.50087875
2017/1/17 15:39:19:471,anger_0826.jpg,0.50087875,0.4323033
2017/1/17 15:39:22:522,contentment_0117.jpg,0.50087875,0.50087875
2017/1/17 15:39:25:904,excitement_0212.jpg,0.50087875,0.50087875
2017/1/17 15:39:30:124,amusement_0737.jpg,0.50087875,0.5326439
2017/1/17 15:39:32:597,sad_0415.jpg,0.50087875,0.50087875
2017/1/17 15:39:36:768,amusement_0542.jpg,0.50087875,0.50087875
2017/1/17 15:39:41:843,anger_0265.jpg,0.6186634,0.42254692
2017/1/17 15:39:47:571,fear_0670.jpg,0.50087875,0.50087875
2017/1/17 15:39:54:392,contentment_0116.jpg,0.50087875,0.526524
2017/1/17 15:39:57:806,contentment_0106.jpg,0.50087875,0.50087875
2017/1/17 15:40:0:770,awe_0060.jpg,0.50087875,0.50087875
2017/1/17 15:40:4:969,fear_0966.jpg,0.50087875,0.5335154
2017/1/17 15:40:7:836,sad_0338.jpg,0.50087875,0.50087875
2017/1/17 15:40:9:522,sad_0347.jpg,0.50087875,0.50087875
2017/1/17 15:40:12:638,amusement_0537.jpg,0.50087875,0.50087875
2017/1/17 15:40:16:751,sad_0456.jpg,0.50087875,0.50087875
2017/1/17 15:40:20:997,sad_0626.jpg,0.50087875,0.50087875
2017/1/17 15:40:26:870,disgust_0783.jpg,0.5511313,0.44359204
2017/1/17 15:40:29:238,fear_0926.jpg,0.50087875,0.50087875
2017/1/17 15:40:31:609,excitement_0189.jpg,0.50087875,0.50087875
2017/1/17 15:40:34:974,awe_0033.jpg,0.50087875,0.50087875
2017/1/17 15:40:39:803,disgust_0790.jpg,0.5879879,0.4357617
2017/1/17 15:40:43:241,anger_0008.jpg,0.5546207,0.46039125
2017/1/17 15:40:46:158,amusement_0546.jpg,0.50087875,0.50087875
2017/1/17 15:40:51:232,awe_0839.jpg,0.50087875,0.50087875
2017/1/17 15:40:53:503,sad_0460.jpg,0.50087875,0.50087875
