time,fileName,arousal,valence
2017/1/13 14:6:40:169,sad_0422.jpg,0.4541996,0.6354853
2017/1/13 14:7:53:594,fear_0945.jpg,0.30064318,0.2512469
2017/1/13 14:8:10:799,sad_0370.jpg,0.6407219,0.08608014
2017/1/13 14:8:19:536,anger_0005.jpg,0.66351354,0.6458771
2017/1/13 14:8:28:526,awe_0600.jpg,0.64075917,0.72776675
2017/1/13 14:8:37:137,awe_0867.jpg,0.80937684,0.84815085
2017/1/13 14:8:48:24,awe_0596.jpg,0.6626417,0.5580666
2017/1/13 14:8:52:902,amusement_0542.jpg,0.50087875,0.50087875
2017/1/13 14:9:0:897,sad_0643.jpg,0.77424675,0.80503345
2017/1/13 14:9:8:835,fear_0937.jpg,0.18442516,0.18446755
2017/1/13 14:9:24:525,amusement_0736.jpg,0.59479684,0.3206943
2017/1/13 14:9:47:795,amusement_0747 (1).jpg,0.5615007,0.5563507
2017/1/13 14:9:54:257,amusement_0525.jpg,0.7285863,0.74087566
2017/1/13 14:10:3:871,excitement_0227.jpg,0.77344364,0.76723605
2017/1/13 14:10:10:263,sad_0417.jpg,0.91107875,0.94477797
2017/1/13 14:10:19:474,contentment_0130.jpg,0.91580653,0.9166337
2017/1/13 14:10:27:681,amusement_0750.jpg,0.64954764,0.7075565
2017/1/13 14:10:35:441,sad_0339.jpg,0.31722257,0.28189865
2017/1/13 14:10:51:234,sad_0641.jpg,0.5361872,0.55983216
2017/1/13 14:10:59:841,contentment_0080.jpg,0.5914949,0.57659304
2017/1/13 14:11:9:521,amusement_0717.jpg,0.6503693,0.6924939
2017/1/13 14:11:18:802,anger_0818.jpg,0.6231944,0.07824633
2017/1/13 14:11:27:904,sad_0340.jpg,0.19847436,0.23809887
2017/1/13 14:11:37:655,anger_0265.jpg,0.7434523,0.027115203
2017/1/13 14:11:45:842,disgust_0800.jpg,0.58968276,0.6107341
2017/1/13 14:11:54:356,sad_0441.jpg,0.29345503,0.2655326
2017/1/13 14:12:6:965,sad_0302.jpg,0.38558987,0.3117991
2017/1/13 14:12:11:970,sad_0390.jpg,0.59144,0.61408406
2017/1/13 14:12:19:390,fear_0968.jpg,0.6899643,0.12286452
2017/1/13 14:12:38:462,sad_0648.jpg,0.6248922,0.21779647
2017/1/13 14:12:48:918,sad_0359.jpg,0.6729961,0.22047766
2017/1/13 14:12:54:950,excitement_0258.jpg,0.76363146,0.7750586
2017/1/13 14:12:58:675,sad_0447.jpg,0.50087875,0.50087875
2017/1/13 14:13:8:683,awe_0594.jpg,0.3462564,0.26798224
2017/1/13 14:13:14:766,amusement_0497.jpg,0.75924003,0.84638417
2017/1/13 14:13:21:179,anger_0272.jpg,0.7347873,0.07287343
2017/1/13 14:13:26:856,awe_0054.jpg,0.58877635,0.6166643
2017/1/13 14:13:33:100,amusement_0747.jpg,0.53874344,0.53959376
2017/1/13 14:13:47:176,awe_0039.jpg,0.6864508,0.69690084
2017/1/13 14:13:53:663,awe_0600.jpg,0.6011052,0.63010097
2017/1/13 14:14:2:596,fear_0709.jpg,0.7523171,7.927732E-4
2017/1/13 14:14:12:176,contentment_0082.jpg,0.42864975,0.40064153
2017/1/13 14:14:20:757,excitement_0254.jpg,0.6749335,0.6934944
2017/1/13 14:14:25:701,contentment_0069.jpg,0.6978786,0.7698533
2017/1/13 14:14:32:279,sad_0380.jpg,0.8787143,7.036541E-4
2017/1/13 14:14:40:889,amusement_0527.jpg,0.58419746,0.6248416
2017/1/13 14:14:49:495,anger_0016.jpg,0.74348646,0.6406897
2017/1/13 14:14:59:92,sad_0293.jpg,0.1475102,0.07541752
2017/1/13 14:15:7:717,fear_0667.jpg,0.28022406,0.25324222
2017/1/13 14:15:13:875,excitement_0207.jpg,0.83745736,0.8727577
2017/1/13 14:15:23:268,awe_0843.jpg,0.65123755,0.32867822
2017/1/13 14:15:34:947,amusement_0726.jpg,0.6765039,0.8243785
2017/1/13 14:15:41:992,awe_0874.jpg,0.62725896,0.71622807
2017/1/13 14:15:49:266,fear_0906.jpg,0.2898344,0.2784315
2017/1/13 14:15:56:466,contentment_0074.jpg,0.30038747,0.2890935
2017/1/13 14:16:3:273,awe_0858.jpg,0.54224277,0.5414174
2017/1/13 14:16:11:394,sad_0464.jpg,0.37770903,0.3487741
2017/1/13 14:16:23:507,anger_0810.jpg,0.37158948,0.22833017
2017/1/13 14:16:29:762,sad_0322.jpg,0.31183413,0.25474656
2017/1/13 14:16:36:69,disgust_0761.jpg,0.27667746,0.20026338
